SoluteName                                                                                                                       , SoluteSMILES                                      , SolventName               , SolventSMILES              , delGsolv
2-butanone                                                                                                                       , CC(CC)=O                                          , aceticacid                , C(C)(=O)O                  , -4.8
aceticacid                                                                                                                       , C(C)(=O)O                                         , aceticacid                , C(C)(=O)O                  , -5.3
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , aceticacid                , C(C)(=O)O                  , -4.88
n-octane                                                                                                                         , CCCCCCCC                                          , acetonitrile              , C(C)#N                     , -3.57
toluene                                                                                                                          , CC1=CC=CC=C1                                      , acetonitrile              , C(C)#N                     , -4.68
ethanol                                                                                                                          , C(C)O                                             , acetonitrile              , C(C)#N                     , -4.43
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , acetonitrile              , C(C)#N                     , -5.33
2-butanone                                                                                                                       , CC(CC)=O                                          , acetonitrile              , C(C)#N                     , -4.73
acetonitrile                                                                                                                     , C(C)#N                                            , acetonitrile              , C(C)#N                     , -4.85
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , acetonitrile              , C(C)#N                     , -5.62
n-octane                                                                                                                         , CCCCCCCC                                          , acetophenone              , C(C)(=O)C1=CC=CC=C1        , -4.24
toluene                                                                                                                          , CC1=CC=CC=C1                                      , acetophenone              , C(C)(=O)C1=CC=CC=C1        , -4.9
ethanol                                                                                                                          , C(C)O                                             , acetophenone              , C(C)(=O)C1=CC=CC=C1        , -4.12
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , acetophenone              , C(C)(=O)C1=CC=CC=C1        , -5.03
2-butanone                                                                                                                       , CC(CC)=O                                          , acetophenone              , C(C)(=O)C1=CC=CC=C1        , -4.39
acetophenone                                                                                                                     , C(C)(=O)C1=CC=CC=C1                               , acetophenone              , C(C)(=O)C1=CC=CC=C1        , -7.59
aceticacid                                                                                                                       , C(C)(=O)O                                         , acetophenone              , C(C)(=O)C1=CC=CC=C1        , -6.2
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , acetophenone              , C(C)(=O)C1=CC=CC=C1        , -4.92
hydrogenperoxide                                                                                                                 , OO                                                , acetophenone              , C(C)(=O)C1=CC=CC=C1        , -7.3
n-octane                                                                                                                         , CCCCCCCC                                          , aniline                   , NC1=CC=CC=C1               , -3.48
toluene                                                                                                                          , CC1=CC=CC=C1                                      , aniline                   , NC1=CC=CC=C1               , -4.57
ethanol                                                                                                                          , C(C)O                                             , aniline                   , NC1=CC=CC=C1               , -4.45
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , aniline                   , NC1=CC=CC=C1               , -5.65
2-butanone                                                                                                                       , CC(CC)=O                                          , aniline                   , NC1=CC=CC=C1               , -4.87
aceticacid                                                                                                                       , C(C)(=O)O                                         , aniline                   , NC1=CC=CC=C1               , -6.3
propanoicacid                                                                                                                    , C(CC)(=O)O                                        , aniline                   , NC1=CC=CC=C1               , -6.2
aniline                                                                                                                          , NC1=CC=CC=C1                                      , aniline                   , NC1=CC=CC=C1               , -7.61
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , aniline                   , NC1=CC=CC=C1               , -5.11
hydrogenperoxide                                                                                                                 , OO                                                , aniline                   , NC1=CC=CC=C1               , -7.8
n-octane                                                                                                                         , CCCCCCCC                                          , anisole                   , C1(=CC=CC=C1)OC            , -4.62
toluene                                                                                                                          , CC1=CC=CC=C1                                      , anisole                   , C1(=CC=CC=C1)OC            , -4.95
ethanol                                                                                                                          , C(C)O                                             , anisole                   , C1(=CC=CC=C1)OC            , -3.59
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , anisole                   , C1(=CC=CC=C1)OC            , -5.06
anisole                                                                                                                          , C1(=CC=CC=C1)OC                                   , anisole                   , C1(=CC=CC=C1)OC            , -6.33
2-butanone                                                                                                                       , CC(CC)=O                                          , anisole                   , C1(=CC=CC=C1)OC            , -4.43
butylamine                                                                                                                       , C(CCC)N                                           , anisole                   , C1(=CC=CC=C1)OC            , -4.44
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , anisole                   , C1(=CC=CC=C1)OC            , -4.69
n-pentane                                                                                                                        , CCCCC                                             , benzene                   , C1=CC=CC=C1                , -2.99
n-hexane                                                                                                                         , CCCCCC                                            , benzene                   , C1=CC=CC=C1                , -3.62
n-octane                                                                                                                         , CCCCCCCC                                          , benzene                   , C1=CC=CC=C1                , -5.35
cyclohexane                                                                                                                      , C1CCCCC1                                          , benzene                   , C1=CC=CC=C1                , -4.05
benzene                                                                                                                          , C1=CC=CC=C1                                       , benzene                   , C1=CC=CC=C1                , -4.55
toluene                                                                                                                          , CC1=CC=CC=C1                                      , benzene                   , C1=CC=CC=C1                , -5.32
methanol                                                                                                                         , CO                                                , benzene                   , C1=CC=CC=C1                , -2.58
ethanol                                                                                                                          , C(C)O                                             , benzene                   , C1=CC=CC=C1                , -3.42
1-propanol                                                                                                                       , C(CC)O                                            , benzene                   , C1=CC=CC=C1                , -3.87
isopropanol                                                                                                                      , C(C)(C)O                                          , benzene                   , C1=CC=CC=C1                , -3.48
1-butanol                                                                                                                        , C(CCC)O                                           , benzene                   , C1=CC=CC=C1                , -4.45
t-butanol                                                                                                                        , C(C)(C)(C)O                                       , benzene                   , C1=CC=CC=C1                , -3.7
1-pentanol                                                                                                                       , C(CCCC)O                                          , benzene                   , C1=CC=CC=C1                , -5.1
phenol                                                                                                                           , C1(=CC=CC=C1)O                                    , benzene                   , C1=CC=CC=C1                , -7.12
1-hexanol                                                                                                                        , C(CCCCC)O                                         , benzene                   , C1=CC=CC=C1                , -6.13
o-cresol                                                                                                                         , C1(=CC=CC=C1O)C                                   , benzene                   , C1=CC=CC=C1                , -7.44
m-cresol                                                                                                                         , C1=C(C=CC=C1O)C                                   , benzene                   , C1=CC=CC=C1                , -6.66
p-cresol                                                                                                                         , C1=CC(=CC=C1O)C                                   , benzene                   , C1=CC=CC=C1                , -7.35
1-heptanol                                                                                                                       , C(CCCCCC)O                                        , benzene                   , C1=CC=CC=C1                , -6.85
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , benzene                   , C1=CC=CC=C1                , -5.21
acetone                                                                                                                          , CC(=O)C                                           , benzene                   , C1=CC=CC=C1                , -3.79
2-butanone                                                                                                                       , CC(CC)=O                                          , benzene                   , C1=CC=CC=C1                , -4.46
2-pentanone                                                                                                                      , CC(CCC)=O                                         , benzene                   , C1=CC=CC=C1                , -5.14
2-hexanone                                                                                                                       , CC(CCCC)=O                                        , benzene                   , C1=CC=CC=C1                , -5.76
2-heptanone                                                                                                                      , CC(CCCCC)=O                                       , benzene                   , C1=CC=CC=C1                , -6.36
aceticacid                                                                                                                       , C(C)(=O)O                                         , benzene                   , C1=CC=CC=C1                , -4.02
propanoicacid                                                                                                                    , C(CC)(=O)O                                        , benzene                   , C1=CC=CC=C1                , -4.75
butanoicacid                                                                                                                     , C(CCC)(=O)O                                       , benzene                   , C1=CC=CC=C1                , -5.3
pentanoicacid                                                                                                                    , C(CCCC)(=O)O                                      , benzene                   , C1=CC=CC=C1                , -6.01
hexanoicacid                                                                                                                     , C(CCCCC)(=O)O                                     , benzene                   , C1=CC=CC=C1                , -6.94
methylacetate                                                                                                                    , COC(C)=O                                          , benzene                   , C1=CC=CC=C1                , -4.04
methylpropanoate                                                                                                                 , COC(CC)=O                                         , benzene                   , C1=CC=CC=C1                , -4.58
ethylacetate                                                                                                                     , C(C)OC(C)=O                                       , benzene                   , C1=CC=CC=C1                , -4.53
propylacetate                                                                                                                    , C(CC)OC(C)=O                                      , benzene                   , C1=CC=CC=C1                , -5.21
methylpentanoate                                                                                                                 , COC(CCCC)=O                                       , benzene                   , C1=CC=CC=C1                , -5.83
butylacetate                                                                                                                     , C(CCC)OC(C)=O                                     , benzene                   , C1=CC=CC=C1                , -5.78
methylhexanoate                                                                                                                  , COC(CCCCC)=O                                      , benzene                   , C1=CC=CC=C1                , -6.47
pentylacetate                                                                                                                    , C(CCCC)OC(C)=O                                    , benzene                   , C1=CC=CC=C1                , -6.53
ethylamine                                                                                                                       , C(C)N                                             , benzene                   , C1=CC=CC=C1                , -2.73
dimethylamine                                                                                                                    , CNC                                               , benzene                   , C1=CC=CC=C1                , -3.01
propylamine                                                                                                                      , C(CC)N                                            , benzene                   , C1=CC=CC=C1                , -3.68
trimethylamine                                                                                                                   , CN(C)C                                            , benzene                   , C1=CC=CC=C1                , -2.8
diethylamine                                                                                                                     , C(C)NCC                                           , benzene                   , C1=CC=CC=C1                , -4.02
dipropylamine                                                                                                                    , C(CC)NCCC                                         , benzene                   , C1=CC=CC=C1                , -5.09
pyridine                                                                                                                         , N1=CC=CC=C1                                       , benzene                   , C1=CC=CC=C1                , -5.28
aniline                                                                                                                          , NC1=CC=CC=C1                                      , benzene                   , C1=CC=CC=C1                , -6.88
2-methylpyridine                                                                                                                 , CC1=NC=CC=C1                                      , benzene                   , C1=CC=CC=C1                , -5.86
4-methylpyridine                                                                                                                 , CC1=CC=NC=C1                                      , benzene                   , C1=CC=CC=C1                , -6.17
N-methylaniline                                                                                                                  , CNC1=CC=CC=C1                                     , benzene                   , C1=CC=CC=C1                , -6.64
"2,6-dimethylpyridine                                                                                                           ", CC1=NC(=CC=C1)C                                   , benzene                   , C1=CC=CC=C1                , -6.39
nitrobenzene                                                                                                                     , [N+](=O)([O-])C1=CC=CC=C1                         , benzene                   , C1=CC=CC=C1                , -7.6
m-hydroxybenzaldehyde                                                                                                            , OC=1C=C(C=O)C=CC1                                 , benzene                   , C1=CC=CC=C1                , -9.29
p-hydroxybenzaldehyde                                                                                                            , OC1=CC=C(C=O)C=C1                                 , benzene                   , C1=CC=CC=C1                , -9.73
p-bromophenol                                                                                                                    , BrC1=CC=C(C=C1)O                                  , benzene                   , C1=CC=CC=C1                , -8.81
ammonia                                                                                                                          , N                                                 , benzene                   , C1=CC=CC=C1                , -1.12
water                                                                                                                            , O                                                 , benzene                   , C1=CC=CC=C1                , -1.71
trimethylphosphate                                                                                                               , COP(=O)(OC)OC                                     , benzene                   , C1=CC=CC=C1                , -8.02
triethylphosphate                                                                                                                , C(C)OP(=O)(OCC)OCC                                , benzene                   , C1=CC=CC=C1                , -8.58
tripropylphosphate                                                                                                               , C(CC)OP(=O)(OCCC)OCCC                             , benzene                   , C1=CC=CC=C1                , -9.34
piperidine                                                                                                                       , N1CCCCC1                                          , benzene                   , C1=CC=CC=C1                , -5.03
methylamine                                                                                                                      , CN                                                , benzene                   , C1=CC=CC=C1                , -2.66
hydrazine                                                                                                                        , NN                                                , benzene                   , C1=CC=CC=C1                , -4.02
1-octanol                                                                                                                        , C(CCCCCCC)O                                       , benzene                   , C1=CC=CC=C1                , -8.06
methylbenzoate                                                                                                                   , COC(C1=CC=CC=C1)=O                                , benzene                   , C1=CC=CC=C1                , -6.27
"1,1-dimethyl-3-phenylurea                                                                                                      ", CN(C(=O)NC1=CC=CC=C1)C                            , benzene                   , C1=CC=CC=C1                , -12.18
dimethyl4-nitrophenylthiophosphate                                                                                               , CC=1C(=C(C=CC1[N+](=O)[O-])S=P([O-])([O-])[O-])C  , benzene                   , C1=CC=CC=C1                , -9.21
diethyl4-nitrophenylthiophosphonate                                                                                              , C(C)C=1C(=C(C=CC1[N+](=O)[O-])P([O-])([O-])=S)CC  , benzene                   , C1=CC=CC=C1                , -8.58
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , benzene                   , C1=CC=CC=C1                , -4.5
"3,5-dimethylpyridine                                                                                                           ", CC=1C=NC=C(C1)C                                   , benzene                   , C1=CC=CC=C1                , -7.64
benzamide                                                                                                                        , C(C1=CC=CC=C1)(=O)N                               , benzene                   , C1=CC=CC=C1                , -9.93
2-methylaniline                                                                                                                  , CC1=C(N)C=CC=C1                                   , benzene                   , C1=CC=CC=C1                , -7.37
3-methylaniline                                                                                                                  , CC=1C=C(N)C=CC1                                   , benzene                   , C1=CC=CC=C1                , -7.61
4-methylaniline                                                                                                                  , CC1=CC=C(N)C=C1                                   , benzene                   , C1=CC=CC=C1                , -7.59
hydrogenperoxide                                                                                                                 , OO                                                , benzene                   , C1=CC=CC=C1                , -4.77
n-octane                                                                                                                         , CCCCCCCC                                          , benzonitrile              , C(C1=CC=CC=C1)#N           , -4.34
toluene                                                                                                                          , CC1=CC=CC=C1                                      , benzonitrile              , C(C1=CC=CC=C1)#N           , -4.95
ethanol                                                                                                                          , C(C)O                                             , benzonitrile              , C(C1=CC=CC=C1)#N           , -4.05
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , benzonitrile              , C(C1=CC=CC=C1)#N           , -5.14
2-butanone                                                                                                                       , CC(CC)=O                                          , benzonitrile              , C(C1=CC=CC=C1)#N           , -4.58
benzonitrile                                                                                                                     , C(C1=CC=CC=C1)#N                                  , benzonitrile              , C(C1=CC=CC=C1)#N           , -7.28
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , benzonitrile              , C(C1=CC=CC=C1)#N           , -5.05
n-octane                                                                                                                         , CCCCCCCC                                          , benzylalcohol             , C(C1=CC=CC=C1)O            , -3.77
toluene                                                                                                                          , CC1=CC=CC=C1                                      , benzylalcohol             , C(C1=CC=CC=C1)O            , -4.46
ethanol                                                                                                                          , C(C)O                                             , benzylalcohol             , C(C1=CC=CC=C1)O            , -4.84
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , benzylalcohol             , C(C1=CC=CC=C1)O            , -5.39
formaldehyde                                                                                                                     , C=O                                               , benzylalcohol             , C(C1=CC=CC=C1)O            , -3.48
2-butanone                                                                                                                       , CC(CC)=O                                          , benzylalcohol             , C(C1=CC=CC=C1)O            , -4.57
aceticacid                                                                                                                       , C(C)(=O)O                                         , benzylalcohol             , C(C1=CC=CC=C1)O            , -6.96
butylamine                                                                                                                       , C(CCC)N                                           , benzylalcohol             , C(C1=CC=CC=C1)O            , -5.15
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , benzylalcohol             , C(C1=CC=CC=C1)O            , -4.53
benzylalcohol                                                                                                                    , C(C1=CC=CC=C1)O                                   , benzylalcohol             , C(C1=CC=CC=C1)O            , -8.61
n-octane                                                                                                                         , CCCCCCCC                                          , bromobenzene              , BrC1=CC=CC=C1              , -5.02
toluene                                                                                                                          , CC1=CC=CC=C1                                      , bromobenzene              , BrC1=CC=CC=C1              , -5.13
methanol                                                                                                                         , CO                                                , bromobenzene              , BrC1=CC=CC=C1              , -2.31
ethanol                                                                                                                          , C(C)O                                             , bromobenzene              , BrC1=CC=CC=C1              , -3.26
1-propanol                                                                                                                       , C(CC)O                                            , bromobenzene              , BrC1=CC=CC=C1              , -3.74
1-butanol                                                                                                                        , C(CCC)O                                           , bromobenzene              , BrC1=CC=CC=C1              , -4.08
1-pentanol                                                                                                                       , C(CCCC)O                                          , bromobenzene              , BrC1=CC=CC=C1              , -5.06
phenol                                                                                                                           , C1(=CC=CC=C1)O                                    , bromobenzene              , BrC1=CC=CC=C1              , -6.87
1-hexanol                                                                                                                        , C(CCCCC)O                                         , bromobenzene              , BrC1=CC=CC=C1              , -5.92
o-cresol                                                                                                                         , C1(=CC=CC=C1O)C                                   , bromobenzene              , BrC1=CC=CC=C1              , -7.26
p-cresol                                                                                                                         , C1=CC(=CC=C1O)C                                   , bromobenzene              , BrC1=CC=CC=C1              , -7.12
1-heptanol                                                                                                                       , C(CCCCCC)O                                        , bromobenzene              , BrC1=CC=CC=C1              , -6.68
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , bromobenzene              , BrC1=CC=CC=C1              , -5.02
2-butanone                                                                                                                       , CC(CC)=O                                          , bromobenzene              , BrC1=CC=CC=C1              , -4.37
methylacetate                                                                                                                    , COC(C)=O                                          , bromobenzene              , BrC1=CC=CC=C1              , -3.87
ethylacetate                                                                                                                     , C(C)OC(C)=O                                       , bromobenzene              , BrC1=CC=CC=C1              , -4.57
propylacetate                                                                                                                    , C(CC)OC(C)=O                                      , bromobenzene              , BrC1=CC=CC=C1              , -4.93
butylacetate                                                                                                                     , C(CCC)OC(C)=O                                     , bromobenzene              , BrC1=CC=CC=C1              , -5.58
pentylacetate                                                                                                                    , C(CCCC)OC(C)=O                                    , bromobenzene              , BrC1=CC=CC=C1              , -6.35
ethylamine                                                                                                                       , C(C)N                                             , bromobenzene              , BrC1=CC=CC=C1              , -2.73
propylamine                                                                                                                      , C(CC)N                                            , bromobenzene              , BrC1=CC=CC=C1              , -3.57
butylamine                                                                                                                       , C(CCC)N                                           , bromobenzene              , BrC1=CC=CC=C1              , -4.22
aniline                                                                                                                          , NC1=CC=CC=C1                                      , bromobenzene              , BrC1=CC=CC=C1              , -6.66
bromobenzene                                                                                                                     , BrC1=CC=CC=C1                                     , bromobenzene              , BrC1=CC=CC=C1              , -6.25
p-bromophenol                                                                                                                    , BrC1=CC=C(C=C1)O                                  , bromobenzene              , BrC1=CC=CC=C1              , -8.49
nitromethane                                                                                                                     , [N+](=O)([O-])C                                   , bromobenzene              , BrC1=CC=CC=C1              , -4.25
4-methylaniline                                                                                                                  , CC1=CC=C(N)C=C1                                   , bromobenzene              , BrC1=CC=CC=C1              , -7.59
n-octane                                                                                                                         , CCCCCCCC                                          , bromoethane               , BrCC                       , -5.54
toluene                                                                                                                          , CC1=CC=CC=C1                                      , bromoethane               , BrCC                       , -5.55
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , bromoethane               , BrCC                       , -5.39
2-butanone                                                                                                                       , CC(CC)=O                                          , bromoethane               , BrCC                       , -5.13
